barcode,name,brand,category,subcategory,ingredients,allergens,retailer,price,promo_price,original_price,promo_text,stock_status,product_url,image_url,source_type,source_url
5060503502673,Ella's Kitchen 7 Month Plus Veggie Biryani 130G,Ella's Kitchen,Baby & Toddler,Baby Meals,Organic mushrooms; Organic vegetable stock; Organic cooked rice; Organic sweet potatoes; Organic onions; Organic tomatoes; Organic cooked lentils; Organic mangoes; Organic spinach; Organic extra virgin olive oil; Organic herbs and spices,unknown,Asda,1.48,,,,in_stock,https://www.grocefully.com/uk/product/ellas-kitchen-organic-veggie-biryani-baby-food-pouch-7-mon-5060503502673,,manual_csv,https://www.grocefully.com/uk/product/ellas-kitchen-organic-veggie-biryani-baby-food-pouch-7-mon-5060503502673
5060107337879,Ella's Kitchen Cottage Pie 130G,Ella's Kitchen,Baby & Toddler,Baby Meals,Organic potatoes; Organic vegetable stock; Organic onions; Organic beef; Organic carrots; Organic tomato puree; Organic peas; Organic cinnamon; Organic cornflour; Organic oregano,unknown,Asda,1.48,,,,in_stock,https://www.grocefully.com/uk/product/ocado/ellas-kitchen-beef-cottage-pie-baby-food-pouch-7-months-5060107337879,,manual_csv,https://www.grocefully.com/uk/product/ocado/ellas-kitchen-beef-cottage-pie-baby-food-pouch-7-months-5060107337879
5000157079800,Heinz Spaghetti Bolognese Baby Food Pouch 180g,Heinz,Baby & Toddler,Baby Meals,Tomato; Carrot; Onion; Courgette; Spaghetti; Water; Durum wheat semolina; Egg white; Beef; Cornflour; Parsley; Oregano; Thyme,Wheat; Egg; Soya; Mustard,Asda,1.67,,,,in_stock,https://www.grocefully.com/uk/product/asda/heinz-spaghetti-bolognese-baby-food-pouch-10-months-5000157079800,,manual_csv,https://www.grocefully.com/uk/product/asda/heinz-spaghetti-bolognese-baby-food-pouch-10-months-5000157079800
5000157079787,Heinz Sunday Chicken Dinner Baby Food Pouch 130g,Heinz,Baby & Toddler,Baby Meals,Parsnip; Carrot; Potato; Tomato; Sweet potato; Swede; Peas; Water; Chicken; Cornflour; Extra virgin olive oil,unknown,Asda,1.25,,,,in_stock,https://www.grocefully.com/product/asda/heinz-sunday-chicken-dinner-baby-food-pouch-7-months-5000157079787,,manual_csv,https://www.grocefully.com/product/asda/heinz-sunday-chicken-dinner-baby-food-pouch-7-months-5000157079787
5000157079893,Heinz Sweet & Sour Chicken Baby Food Pouch 180g,Heinz,Baby & Toddler,Baby Meals,Carrot; Tomato; Onion; Red pepper; Rice; Chicken; Water; Pineapple; Raisins; Cornflour; Extra virgin olive oil,unknown,Asda,1.67,,,,in_stock,https://www.grocefully.com/uk/product/ocado/heinz-sweet-and-sour-chicken-baby-food-pouch-10-months-5000157079893,,manual_csv,https://www.grocefully.com/uk/product/ocado/heinz-sweet-and-sour-chicken-baby-food-pouch-10-months-5000157079893
5000157079794,Heinz Thai Chicken Curry Baby Food Pouch 180g,Heinz,Baby & Toddler,Baby Meals,Carrot; Butternut squash; Sweet potato; Onion; Red pepper; Rice; Water; Chicken; Coconut; Cornflour; Parsley; Ginger; Curry spices,Celery,Asda,1.67,,,,in_stock,https://www.grocefully.com/uk/product/ocado/heinz-thai-chicken-curry-pouch-baby-food-10-months-5000157079794,,manual_csv,https://www.grocefully.com/uk/product/ocado/heinz-thai-chicken-curry-pouch-baby-food-10-months-5000157079794
5051594006812,Aptamil 1 First Baby Milk Formula Powder from Birth 800g,Aptamil,Baby & Toddler,Formula Milk,Dairy-based blend; Lactose from milk; Vegetable oils; Skimmed milk; Demineralised whey from milk; Fish oil; Galacto-oligosaccharides; Fructo-oligosaccharides; Soy lecithin; Vitamins; Minerals,Milk; Fish; Soy,Asda,12.78,,,,in_stock,https://www.grocefully.com/uk/product/aptamil-1-first-baby-milk-formula-powder-from-birth-5051594006812,,manual_csv,https://www.grocefully.com/uk/product/aptamil-1-first-baby-milk-formula-powder-from-birth-5051594006812
5051594006874,Cow & Gate 1 First Infant Baby Milk Formula Powder from Birth 800g,Cow & Gate,Baby & Toddler,Formula Milk,Lactose from milk; Vegetable oils; Skimmed milk; Demineralised whey from milk; Whey concentrate from milk; Galacto-oligosaccharides; Fructo-oligosaccharides; Fish oil; Soy lecithin; Vitamins; Minerals,Milk; Fish; Soy,Asda,9.28,,,,in_stock,https://www.grocefully.com/uk/product/cow-and-gate-1-first-infant-baby-milk-formula-powder-from-birt-5051594006874,,manual_csv,https://www.grocefully.com/uk/product/cow-and-gate-1-first-infant-baby-milk-formula-powder-from-birt-5051594006874
5056000505910,Kendamil Classic First Infant Milk Stage 1 800g,Kendamil,Baby & Toddler,Formula Milk,"Whole milk; Skimmed milk; Lactose (milk); Vegetable oils (sunflower, coconut, rapeseed); Demineralised whey powder (milk); Galacto-oligosaccharides (milk); Whey protein concentrate alpha-lactalbumin (milk); Fructo-oligosaccharides; DHA from microalgae oil; ARA from Mortierella alpina oil; Vitamins; Minerals",Milk,Asda,11.9,,,,in_stock,https://pharmacy.asda.com/medicines/kendamil-classic-first-infant-milk,,manual_csv,https://pharmacy.asda.com/medicines/kendamil-classic-first-infant-milk
5056000502926,Kendamil Organic First Infant Milk Stage 1 800g,Kendamil,Baby & Toddler,Formula Milk,"Organic whole milk; Organic demineralised milk whey protein powder; Organic skimmed milk; Organic vegetable oils (sunflower, coconut, rapeseed); Organic galacto-oligosaccharides (from milk); DHA from microalgae oil; ARA from Mortierella alpina oil; Vitamins; Minerals",Milk,Asda,14.9,,,,in_stock,https://pharmacy.asda.com/medicines/kendamil-organic-first-infant-milk,,manual_csv,https://pharmacy.asda.com/medicines/kendamil-organic-first-infant-milk
